"WDFC",81.80,82.18,87.09,65.19,1.204B,79418,"2/27/2015","9:40am"
"WGO",23.54,23.70,28.90,18.82,638.0M,494482,"2/27/2015","9:50am"
"WIBC",9.54,9.50,11.96,8.80,744.1M,336377,"2/27/2015","9:51am"
"WIRE",36.65,36.78,53.89,29.36,762.1M,121111,"2/27/2015","9:50am"
"WPP",9.58,9.55,13.75,7.76,481.3M,166211,"2/27/2015","9:49am"
"WRLD",83.20,83.51,98.90,63.25,758.4M,113738,"2/27/2015","9:44am"
"WST",54.95,54.78,55.29,39.11,3.893B,292774,"2/27/2015","9:50am"
"WTFC",47.52,47.24,49.99,41.04,2.211B,176349,"2/27/2015","9:50am"
"WTS",55.61,55.44,65.84,51.71,1.942B,199284,"2/27/2015","9:46am"
"WWW",30.22,30.34,30.75,24.00,3.043B,723508,"2/27/2015","9:51am"
"XOXO",15.77,15.58,18.60,8.82,395.0M,99795,"2/27/2015","9:44am"
"ZEP",16.85,16.74,19.05,13.00,385.8M,89615,"2/27/2015","9:50am"
"ZEUS",14.65,14.39,29.58,13.28,158.0M,53200,"2/27/2015","9:50am"
"ZLC",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
"ZQK",2.15,2.16,8.28,1.40,369.4M,1866130,"2/27/2015","9:50am"
"ZUMZ",38.84,38.91,41.81,22.99,1.137B,255680,"2/27/2015","9:48am"
"APKT",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
